Route ID,Route Description,Route Description Marathi,Kilometer
159P-D,Pabal Phata To Ma Na Pa,पाबळ फाटा ते मनपा,40.8
159P-U,Ma Na Pa To Pabal Phata,मनपा ते पाबळ फाटा,40.8
159-U,Ma Na Pa To Talegaon Dhamdhere,मनपा ते तळेगाव ढमढेरे,40.5
160-D,Mundhwagaon To Ma Na Pa,मुंढवा गांव ते मनपा,10.9
160-U,Ma Na Pa To Mundhwagaon,मनपा ते मुंढवा गांव,10.9
161-D,Vimannagar To  Warje Malwadi,विमान नगर ते वारजे माळवाडी  ,23
161-U, Warje Malwadi To Vimannagar, वारजे माळवाडी ते विमान नगर,23
162-D,Kendurgaon To Pune Station,केंदूरगांव ते पुणे स्टेशन,43
162-U,Pune Station To Kendurgaon,पुणे स्टेशन ते केंदूरगांव,43
163-D,Kharadi Gaon To Pune Station,खराडी गाव ते पुणे स्टेशन,11
163-U,Pune Station To Kharadi Gaon,पुणे स्टेशन ते खराडी गाव,11
164-D,Vimannagar To Swargate,विमान नगर ते स्वारगेट,15.5
164-U,Swargate To Vimannagar,स्वारगेट ते विमान नगर,15
165-D,Vadgaonsheri To Ma Na Pa,वडगावशेरी ते मनपा,11.1
165-U,Ma Na Pa To Vadgaonsheri,मनपा ते वडगावशेरी,11.1
166-D,Vimannagar To Pune Station,विमान नगर ते पुणे स्टेशन,9.5
166-U,Pune Station To Vimannagar,पुणे स्टेशन ते विमान नगर,9.5
167-D,Kesnand Phata To Hadapsar Gadital,केसनंद फाटा ते हडपसर गाडीतळ,14.2
167-U,Hadapsar Gadital To Kesnand Phata,हडपसर गाडीतळ ते केसनंद फाटा,14.2
168-D,Keshavnagar To Ma Na Pa,केशवनगर ते मनपा,11.6
168-U,Ma Na Pa To Keshavnagar,मनपा ते केशवनगर,11.6
169-D,Keshavnagar To Ma Na Pa (Vai Koregaon Park),केशवनगर ते मनपा (मार्गे कोरेगाव पार्क ),12
169-U,Ma Na Pa To Keshavnagar (Vai Koregaon Park),मनपा ते केशवनगर (मार्गे कोरेगाव पार्क ),12
170A-D,Kondhwa Bk To Pune Station,कोंढवा बु. ते पुणे स्टेशन,11.3
170A-U,Pune Station To Kondhwa Bk,पुणे स्टेशन ते कोंढवा बु.,11.3
170B-D,Kondhwa Hospital To Pune Station,कोंढवा हॉस्पिटल ते पुणे स्टेशन,12
170B-U,Pune Station To Kondhwa Hospital,पुणे स्टेशन ते कोंढवा हॉस्पिटल,12
170-D,Kondhwa Bk To Pune Station,कोंढवा बु. ते पुणे स्टेशन,11.3
170-U,Pune Station To Kondhwa Bk,पुणे स्टेशन ते कोंढवा बु.,11.3
174A-D,NDA Golmarket To Pune Station,एनडीए गोल मार्केट ते पुणे स्टेशन,21
174A-U,Pune Station To NDA Gol Market,पुणे स्टेशन ते एनडीए गोल मार्केट,21
174B-D,D2 Circle To Pune Station,डी 2 सर्कल ते पुणे स्टेशन,23.4
174B-U,Pune Station To D2 Circle,पुणे स्टेशन ते डी 2 सर्कल,23.4
174-D,Kondhwa Gate To Pune Station,कोंढवा गेट ते पुणे स्टेशन,18.8
174-U,Pune Station To Kondhwa Gate,पुणे स्टेशन ते कोंढवा गेट,18.8
175-D,Hadapsar Gadital To Ma Na Pa,हडपसर गाडीतळ ते मनपा,16
175-U,Ma Na Pa To Hadapsar Gadital,मनपा ते हडपसर गाडीतळ,16
176A-D,Krushnanagar Mohammadwadi To  Swargate (Vai NIBM),कृष्णा नगर ते स्वारगेट (मार्गे एनआयबीएम),12.1
176A-U,Swrgate To Krushnanagar Mohammadwadi (Vai NIBM),स्वारगेट ते कृष्णा नगर (मार्गे एनआयबीएम),12.1
