Route ID,Route Description,Route Description Marathi,Kilometer
314-U,Bhakti Shakti To Mhalunge MIDC,भक्ति शक्ति डेपो ते म्हाळुंगे एमआयडीसी,11.2
315A-D,Moshigaon To Pune Station,मोशी गांव ते पुणे स्टेशन,25.6
315A-U,Pune Station To Moshigaon,पुणे स्टेशन ते मोशी गांव,25.6
315-D,Bhosari To Pune Station (Vai Alandi Road),भोसरी ते पुणे स्टेशन (मार्गे आळंदी रोड ),18.5
315D-U,Ma Na Pa To Dhanorigaon,मनपा ते धानोरी गांव,11.6
315-U,Pune Station To Bhosari (Vai Alandi Road),पुणे स्टेशन ते भोसरी (मार्गे आळंदी रोड ),18.5
316-D,Hinjawadi Maan Phase 3 To Chinchwadgaon,हिंजवडी माण फेज ३ ते चिंचवडगांव,14.2
316-U,Chinchwadgaon To Hinjawadi Maan Phase 3,चिंचवडगांव ते हिंजवडी माण फेज ३,14.2
317A-D,Dapodi To Sambhajinagar,दापोडी ते संभाजी नगर,14.2
317B-D,Pune Station To Dapodi,पुणे स्टेशन ते दापोडी,9.8
317-D,Sambhajinagar To Pune Station,संभाजी नगर ते पुणे स्टेशन,23.7
317-U,Pune Station To Sambhajinagar,पुणे स्टेशन ते संभाजी नगर,23.7
318A-D,Gharkul Vasahat Chikali To Pune Station,घरकुल वसाहत चिकलि ते पुणे स्टेशन,25.6
318A-U,Pune Station To Gharkul Vasahat Chikali,पुणे स्टेशन ते घरकुल वसाहत चिकलि,25.6
318-D,Krishanagar To Pune Station,कृष्णागर ते पुणे स्टेशन,26
318-U,Pune Station To Krushnanagar,पुणे स्टेशन ते कृष्णानगर,26
319-D,Vadgaon Mawal To Alandi,वडगांव मावळ ते आळंदी,32.8
319-U,Alandi To Vadgaon Mawal,आळंदी ते वडगांव मावळ,32.8
31A-D,Pune Station To Padmawati,पुणे स्टेशन ते पद्मावती,10.1
31A-U,Padmawati To Pune Station,पद्मावती ते पुणे स्टेशन,10.1
31-D,Pune Station To Taljai Pathar,पुणे स्टेशन ते तळजाई पठार,12
31-U,Taljai Pathar To Pune Station,तळजाई पठार ते पुणे स्टेशन,12
320-D,Mahalungegaon To Alandi,महाळुंगेगाव ते आळंदी,30.5
320-U,Alandi To Mahalungegaon,आळंदी ते महाळुंगेगाव,30.5
321A-D,Hinjawadi Maan Phase 3 To Pimpale Gurav,हिंजवडी माण फेज ३ ते पिंपळे गुरव,21.8
321A-U,Pimple Gurav To Hinjawadi Maan Phase 3,पिंपळे गुरव ते हिंजवडी माण फेज ३,21.8
321-D,Hinjawadi Maan Phase 3 To Vasasantdada Putla Sangvi,हिंजवडी माण फेज ३ ते वसासंतदादा पुतळा सांगवी,23.1
321-U,Vasasantdada Putla Sangvi To Hinjawadi Maan Phase 3,वसासंतदादा पुतळा सांगवी ते हिंजवडी माण फेज ३,23.1
322A-D,Akurdi Railway Station To Warje Malwadi,आकुर्डी रेल्वे स्टेशन ते वारजे माळवाडी,30.8
322A-U,Warje Malwadi To Akurdi Railway Station,वारजे माळवाडी ते आकुर्डी रेल्वे स्टेशन,30.8
322K-D,Akurdi Railway Station To Ma Na Pa,आकुर्डी रेल्वे स्टेशन ते मनपा,23.5
322K-U,Ma Na Pa To Akurdi Railway Station,मनपा ते आकुर्डी रेल्वे स्टेशन,23.5
323A-D,Gharkul Vasahat Chikhli To Ma Na Pa,घरकुल वसाहत चिखली ते मनपा,23.4
323A-U,Ma Na Pa To Gharkul Vasahat Chikhli,मनपा ते घरकुल वसाहत चिखली,23.4
323B-D,Chikhali To Nehrunagar Depo,चिखली ते नेहरूनगर डेपो,8.9
323B-U,Nehrunagar Depo To Chikhali,नेहरूनगर डेपो ते चिखली,8.9
323C-D,Gharkul Vasahat Chikhali To Nehrunagar Depo,घरकुल वासहत चिखली ते नेहरूनगर डेपो,6.6
323C-U,Nehrunagar Depo To Gharkul Vasahat Chikhali,नेहरूनगर डेपो ते घरकुल वासहत चिखली,6.6
323-D,Chikhali To Ma Na Pa,चिखली ते मनपा,23.4
323-U,Ma Na Pa To Chikhali,मनपा ते चिखली,23.4
324-D,Hinjawadi Maan Phase 3 To Bhosari,हिंजवडी माण फेज ३ ते भोसरी,25.3
324-U,Bhosari To Hinjawadi Maan Phase 3,भोसरी ते हिंजवडी माण फेज ३,25.3
325A-D,Masulkar Colony To Nehrunagar Depo,मासुळकर कॉलनी ते नेहरूनगर डेपो,2.7
325A-U,Nehrunagar Depo To Masulkar Colony,नेहरूनगर डेपो ते मासुळकर कॉलनी,2.7
325-D,Masulkar Colony To Pune Station,मासुळकर कॉलनी ते पुणे स्टेशन,18.7
325-U,Pune Station To Masulkar Colony,पुणे स्टेशन ते मासुळकर कॉलनी,18.7
326A-D,Chikhali To Nehrunagar Depo,चिखली ते नेहरूनगर डेपो,7.4
326A-U,Nehrunagar Depo To Chikhali,नेहरूनगर डेपो ते चिखली,7.4
326B-D,Nehrunagar Depo To Chikhali,नेहरूनगर डेपो ते चिखली,7.4
326-D,Chikhali To Pimprigaon,चिखली ते पिंपरी गाव,10.1
326-U,Pimprigaon To Chikhali,पिंपरी गाव ते चिखली,10.1
327A-D,Hinjawadi Maan Phase 3 To Nehrunagar Depo,हिंजवडी माण फेज ३ ते नेहरूनगर डेपो,21.3
327A-U,Nehrunagar Depo To Hinjawadi Maan Phase 3,नेहरूनगर डेपो ते हिंजवडी माण फेज ३,21.3
327B-D,Bhosari To Hinjawadi Maan Phase 3,भोसरी ते हिंजवडी माण फेज ३,27.1
327C-D,Alandi To Nehrunagar Depo,आळंदी ते नेहरूनगर डेपो,13.3
327C-U,Nehrunagar Depo To Alandi,नेहरूनगर डेपो ते आळंदी,13.3
327-D,Hinjawadi Maan Phase 3 To Alandi,हिंजवडी माण फेज ३ ते आळंदी,35.7
327-U,Alandi To Hinjawadi Maan Phase 3,आळंदी ते हिंजवडी माण फेज ३,35.7
328A-D,Rupeenagar To Nigdi,रूपीनगर ते निगडी,3
328A-U,Nigdi To Rupeenagar,निगडी ते रूपीनगर,3
329A-D,Dehugaon To Pune Station (Via Yarwada),देहू गांव ते पुणे स्टेशन (मार्गे येरवडा),34
329A-U,Pune Station To Dehugaon (Via Yarwada),पुणे स्टेशन ते देहू गांव  (मार्गे येरवडा),34
329-D,Dehugaon To Pune Station (Via Wakdevadi),देहू गांव ते पुणे स्टेशन (मार्गे वाकडेवाडी),33
329-U,Pune Station To Dehugaon (Via Wakdevadi),पुणे स्टेशन ते देहू गांव (मार्गे वाकडेवाडी),33
32-D,Alandi To Bharati Vidyapeeth,आळंदी ते भारती विद्यापीठ,34.1
32-U,Bharati Vidyapeeth To Alandi,भारती विद्यापीठ ते आळंदी,34.1
331A-D,Rahatnigaon To Gavhanevasti Bhosari,रहाटणी गांव ते गव्हाणे वस्ती भोसरी,13
331A-U,Gavhanevasti Bhosari To Rahatnigaon,गव्हाणे वस्ती भोसरी ते रहाटणी गांव,13
331B-D,Rahatnigaon To Charholigaon,रहाटणी गांव ते चऱ्होली गांव,22
331B-U,Charholigaon To Rahatnigaon,चऱ्होली गांव ते रहाटणी गांव,22
331C-U,Nehrunagar Depo To Rahatnigaon,नेहरूनगर डेपो ते रहाटणी गांव,9.5
331-D,Rahatnigaon To Charholigaon,रहाटणी गांव ते चऱ्होली गांव,22
331D-U,Charholigaon To Nehrunagar Depo,चऱ्होली गांव ते नेहरूनगर डेपो,12.5
331-U,Charholigaon To Rahatnigaon,चऱ्होली गांव ते रहाटणी गांव,22
332A-D,Pimple Saudagar To Ma Na Pa,पिंपळे सौदागर ते मनपा,15.7
332A-U,Ma Na Pa To Pimple Saudagar,मनपा ते पिंपळे सौदागर,15.7
332-D,Pimpri To Pune Station,पिंपरी ते पुणे स्टेशन,26.4
332-U,Pune Station To Pimpri,पुणे स्टेशन ते पिंपरी,26.4
333-D,Hinjawadi Maan Phase 3 To Pune Station,हिंजवडी माण फेज ३ ते पुणे स्टेशन,26.6
333-U,Pune Station To Hinjawadi Maan Phase 3,पुणे स्टेशन ते हिंजवडी माण फेज ३,26.6
334-D,Gharkul Vasahat Chikhali To Pimprigaon,घरकुल वासहत चिखली ते पिंपरी गाव,8.2
334-U,Pimprigaon To Gharkul Vasahat Chikhli,पिंपरी गाव ते घरकुल वसाहत चिखली,8.2
335A-D,Jambe To Dange Chowk,जांबे ते डांगे चौक,7.6
335A-U,Dange Chowk To Jambe,डांगे चौक ते जांबे,7.6
335B-D,Dange Chowk To Nehrunagar Depo,डांगे चौक ते नेहरूनगर डेपो,8.9
335B-U,Nehrunagar Depo To Dange Chowk,नेहरूनगर डेपो ते डांगे चौक,8.9
336-D,Bhakti Shakti To Kesnand Phata,भक्ति शक्ति डेपो ते केसनंद फाटा,31
336-U,Kesnand Phata To Bhakti Shakti,केसनंद फाटा ते भक्ति शक्ति डेपो,31
337-D,Bhakti Shakti To Dhayari Maruti Mandir,भक्ति शक्ति डेपो ते धायरी मारूती मंदिर,37.7
337-U,Dhayari Maruti Mandir To Bhakti Shakti,धायरी मारूती मंदिर ते भक्ति शक्ति डेपो,37.7
339B-D,Indrayaninagar To Pune Station,इंद्रायणी नगर ते पुणे स्टेशन,22.6
339B-U,Pune Station To Indrayaninagar,पुणे स्टेशन ते इंद्रायणी नगर,22.6
339-D,Santnagar MIDC Police Station To Katraj,संत नगर एमआयडीसी पोलीस स्टेशन ते कात्रज,32.5
339-U,Katraj To Santnagar MIDC Police Station,कात्रज ते संत नगर एमआयडीसी पोलीस स्टेशन,32.5
33A-D,Na Ta Wadi To Padmawati,नतावाडी ते पद्मावती,8
33A-U,Padmawati To Na Ta Wadi,पद्मावती ते नतावाडी,8
33-D,Na Ta Wadi To Taljai Pathar,नतावाडी ते तळजाई पठार,10.2
33-U,Taljai Pathar To Na Ta Wadi,तळजाई पठार ते नतावाडी,10.2
341-D,Mohannagar To Ma Na Pa,मोहननगर ते मनपा,22.2
341-U,Ma Na Pa To Mohannagar,मनपा ते मोहननगर,22.2
344A-U,Nehrunagar Depo To Pimple Nilakh,नेहरूनगर डेपो ते पिपळे निलख,13.7
344B-U,Alandi To Nehrunagar Depo,आळंदी ते नेहरूनगर डेपो,13.7
344-D,Pimple Nilakh To Alandi,पिपळे निलख ते आळंदी,26.1
344-U,Alandi To Pimple Nilakh,आळंदी ते पिपळे निलख,26.1
345-D,Thergaon To Pune Station,थेरगाव ते पुणे स्टेशन,19.3
345-U,Pune Station To Thergaon,पुणे स्टेशन ते थेरगाव,19.3
347A-U,Nehrunagar Depo To Dapodi Mantri Niketan,नेहरूनगर डेपो ते दापोडी मंत्री निकेतन,18.4
347-D,Dapodi To Alandi,दापोडी ते आळंदी,30.9
347-U,Alandi To Dapodi,आळंदी ते दापोडी,30.9
348-D,Nigdi To Pune Station,निगडी ते पुणे स्टेशन,24
348-U,Pune Station To Nigdi,पुणे स्टेशन ते निगडी,24
350A-D,Dehugaon To Pimprigaon,देहू गांव ते पिंपरी गाव,17.1
350A-U,Pimprigaon To Dehugaon,पिंपरी गाव ते देहू गांव,17.1
350B-D,Bhakti Shakti To Pimprigaon,भक्ति शक्ति डेपो ते पिंपरी गाव,8.3
350B-U,Pimprigaon To Bhakti Shakti,पिंपरी गाव ते भक्ति शक्ति डेपो,8.3
350-D,Dehugaon To Nigdi,देहू गांव ते निगडी,8.8
350-U,Nigdi To Dehugaon,निगडी ते देहू गांव,8.8
351A-D,Jambe To Bhosari,जांबे ते भोसरी,24
351A-U,Bhosari To Jambe,भोसरी ते जांबे,24
351-D,Jambe To Alandi,जांबे ते आळंदी,32.5
351-U,Alandi To Jambe,आळंदी ते जांबे,32.5
354A-D,Pimpri To Marketyard,पिंपरी ते मार्केटयार्ड,28.5
354A-U,Marketyard To Pimpri,मार्केटयार्ड ते पिंपरी,28.5
354-D,Pimprigaon To Marketyard,पिंपरी गाव ते मार्केटयार्ड,28.8
354-U,Marketyard To Pimprigaon,मार्केटयार्ड ते पिंपरी गाव,28.8
355-D,Chikhali To Dange Chowk,चिखली ते डांगे चौक,13
355-U,Dange Chowk To Chikhali,डांगे चौक ते चिखली,13
357-D,Rajgurunagar To Pune Station,राजगुरूनगर ते पुणे स्टेशन,46.6
357-U,Pune Station To Rajgurunagar,पुणे स्टेशन ते राजगुरूनगर,46.6
358-D,Rajgurunagar To Bhosari,राजगुरूनगर ते भोसरी,27.6
358-U,Bhosari To Rajgurunagar,भोसरी ते राजगुरूनगर,27.6
360-D,Balewadi Depot To Alandi,बालेवाडी डेपो ते आळंदी,35
360-U,Alandi To Balewadi Depot,आळंदी ते बालेवाडी डेपो,35
361-D,Bhosari Terminal To Alandi,भोसरी टर्मिनल ते आळंदी,8.5
361-U,Alandi To Bhosari Terminal,आळंदी ते भोसरी टर्मिनल,8.5
362A-D,Alandi To YCM Hospital (Via Moshi),आळंदी ते वायसीएम हॉस्‍पीटल (मार्गे मोशी),16
362A-U,YCM Hospital To Alandi (Via Moshi),वायसीएम हॉस्‍पीटल ते आळंदी (मार्गे मोशी),16
362B-D,YCM Hospital To Bhosari,वायसीएम हॉस्‍पीटल ते भोसरी,5.5
362B-U,Bhosari To YCM Hospital,भोसरी ते वायसीएम हॉस्‍पीटल,5.5
362-D,YCM Hospital To Alandi,वायसीएम हॉस्‍पीटल ते आळंदी,14
362-U,Alandi To YCM Hospital,आळंदी ते वायसीएम हॉस्‍पीटल,14
363A-D,Kiwalegaon To Nigdi,किवळेगांव ते निगडी,10.7
363A-U,Nigdi To Kiwalegaon,निगडी ते किवळेगांव,10.7
363-D,Adarshnagar To Nigdi,आदर्शनगर ते निगडी,9
363-U,Nigdi To Adarshnagar,निगडी ते आदर्शनगर,9
366A-D,Bhapkar Petrol Pump To Bhakti Shakti,भापकर पेट्रोल पंप ते भक्ति शक्ति डेपो,24.9
366A-U,Bhakti Shakti To Bhapkar Petrol Pump,भक्ति शक्ति डेपो ते भापकर पेट्रोल पंप,25.9
366B-U,Pune Station To Pimpri,पुणे स्टेशन ते पिंपरी,16.9
366C-D,Katraj To Pimpri,कात्रज ते पिंपरी,24.7
366-D,Bhakti Shakti To Pune Station (Via Yerwada),भक्ति शक्ति डेपो ते पुणे स्टेशन (मार्गे येरवडा),22.7
366-U,Pune Station To Bhakti Shakti (Via Yerwada),पुणे स्टेशन ते भक्ति शक्ति डेपो (मार्गे येरवडा),22.7
367A-D,Santnagar MIDC Police Station To Akurdi Railway Station,संत नगर एमआयडीसी पोलीस स्टेशन ते आकुर्डी रेल्वे स्टेशन,18.5
367A-U,Akurdi Railway Station To Santnagar MIDC Police Station,आकुर्डी रेल्वे स्टेशन ते संत नगर एमआयडीसी पोलीस स्टेशन,18.5
367B-D,Gharkul Vasahat To Bhosari Terminal,घरकुल वासहत ते भोसरी टर्मिनल,11.4
367B-U,Bhosari Terminal To Gharkul Vasahat,भोसरी टर्मिनल ते घरकुल वासहत,11.4
367C-D,Akurdi Railway Station To Bhosari,आकुर्डी रेल्वे स्टेशन ते भोसरी,17
367C-U,Bhosari To Akurdi Railway Station,भोसरी ते आकुर्डी रेल्वे स्टेशन,17
367-D,Gavhanevasti Bhosari To Nigdi,गव्हाणे वस्ती भोसरी ते निगडी,10.8
367-U,Nigdi To Gavhanevasti Bhosari,निगडी ते गव्हाणे वस्ती भोसरी,10.8
36-D,Chinchwadgaon To Ma Na Pa,चिंचवडगांव ते मनपा,17.1
36-U,Ma Na Pa To Chinchwadgaon,मनपा ते चिंचवडगांव,17.1
370-R,Pimpri To Pimpri,पिंपरी ते पिंपरी,14.5
372-D,Hinjawadi Maan Phase 3 To Bhakti Shakti,हिंजवडी माण फेज ३ ते भक्ति शक्ति डेपो,20.9
372-U,Bhakti Shakti To Hinjawadi Maan Phase 3,भक्ति शक्ति डेपो ते हिंजवडी माण फेज ३,20.9
373-D,Hinjawadi Maan Phase 3 To Wakad pul,हिंजवडी माण फेज ३ ते वाकड पूल,10
373-U,Wakad Pul To Hinjawadi Maan Phase 3,वाकड पूल ते हिंजवडी माण फेज ३,10
376A-D,Bhakti Shakti To Warje Malwadi (Vai YCM),भक्ति शक्ति डेपो ते वारजे माळवाडी (मार्गे वायसीएम),31.2
376A-U,Warje Malwadi To Bhakti Shakti (Vai YCM),वारजे माळवाडी ते भक्ति शक्ति डेपो (मार्गे वायसीएम),31.2
376B-D,Bhakti Shakti To Shewalwadi (Vai YCM),भक्ति शक्ति डेपो ते शेवाळवाडी (मार्गे वायसीएम),35.7
376B-U,Shewalwadi To Bhakti Shakti (Vai YCM),शेवाळवाडी ते भक्ति शक्ति डेपो (मार्गे वायसीएम),35.7
376-D,Bhakti Shakti To Katraj (Vai YCM),भक्ति शक्ति डेपो ते कात्रज (मार्गे वायसीएम),30.9
376D-D,Bhakti Shakti To Nehrunagar Depo,भक्ति शक्ति डेपो ते नेहरूनगर डेपो,9.3
376D-U,Nehrunagar Depo To Bhakti Shakti,नेहरूनगर डेपो ते भक्ति शक्ति डेपो,9.3
376E-D,Warje Malwadi To Nehrunagar Depo (Vai YCM),वारजे माळवाडी ते नेहरूनगर डेपो (मार्गे वायसीएम),23.5
376F-D,Sambhajinagar To Nehrunagar Depo,संभाजी नगर ते नेहरूनगर डेपो,23
376F-U,Nehrunagar Depo To Sambhajinagar,नेहरूनगर डेपो ते संभाजी नगर,9.6
376G-D,Shewalwadi To Nehrunagar Depo (Vai YCM),शेवाळवाडी ते नेहरूनगर डेपो (मार्गे वायसीएम),28
376H-U,Katraj To Nehrunagar Depo (Vai YCM),कात्रज ते नेहरूनगर डेपो (मार्गे वायसीएम),23.2
376K-D,Sambhajinagar To Katraj (Vai YCM),संभाजी नगर ते कात्रज (मार्गे वायसीएम),32.9
376K-U,Katraj To Sambhajinagar (Vai YCM),कात्रज ते संभाजी नगर (मार्गे वायसीएम),32.9
376-U,Katraj To Bhakti Shakti (Vai YCM),कात्रज ते भक्ति शक्ति डेपो (मार्गे वायसीएम),30.9
37-D,Na Ta Wadi To Sahkarnagar,नतावाडी ते सहकारनगर,7
37-U,Sahkarnagar To Na Ta Wadi,सहकारनगर ते नतावाडी,7
38-D,Na Ta Wadi To Dhankawadi,नतावाडी ते धनकवडी,9
38-U,Dhankawadi To Na Ta Wadi,धनकवडी ते नतावाडी,9
39-D,Pune Station To Dhankawadi,पुणे स्टेशन ते धनकवडी,10.5
39-U,Dhankawadi To Pune Station,धनकवडी ते पुणे स्टेशन,10.5
3-D,Pune Station To Swargate,पुणे स्टेशन ते स्वारगेट,7.5
3-U,Swargate To Pune Station,स्वारगेट ते पुणे स्टेशन,7.5
40-D,Mandai To Saket Society,महात्मा फुले मंडई ते साकेत सोसायटी,5.3
40-U,Saket Society To Mandai,साकेत सोसायटी ते महात्मा फुले मंडई,5.3
41-U, Upper Depot To Sangvi ,अप्पर डेपो ते सांगवी,19
41-D,Sangvi To Upper Depot,सांगवी ते अप्पर डेपो,19
42-D,Bhakti Shakti To Katraj,भक्ति शक्ति डेपो ते कात्रज,28.95
42-U,Katraj To Bhakti Shakti,कात्रज ते भक्ति शक्ति डेपो,28.95
43A-D,Hinjawadi Maan Phase 3 To Katraj,हिंजवडी माण फेज ३ ते कात्रज,33.7
43A-U,Katraj To Hinjawadi Maan Phase 3,कात्रज ते हिंजवडी माण फेज ३,33.7
43-D,Bhakti Shakti To Katraj,भक्ति शक्ति डेपो ते कात्रज,33.7
43-U,Katraj To Bhakti Shakti,कात्रज ते भक्ति शक्ति डेपो,33.7
46-D,Lohgaon To  Upper Depot,लोहगांव ते अप्पर डेपो  ,25.9
46-U, Upper Depot To Lohgaon,अप्पर डेपो ते लोहगांव,25.9
47A-D,Vadgaon Bk To Shaniwarwada Stand,वडगाव बु. ते शनिवारवाडा स्‍टॅण्ड,9.4
47A-U,Shaniwarwada Stand To Vadgaon Bk,शनिवारवाडा स्‍टॅण्ड ते वडगाव बु.,9.4
47-D,Sanaswadi Nandoshi To Shaniwarwada,सणस वाडी ते शनिवारवाडा,17.7
47-U,Shaniwarwada To Sanaswadi Nandoshi,शनिवारवाडा ते सणस वाडी,17.7
48-D,Venutai Chavan College To Pune Station,वेणुताई कॉलेज ते पुणे स्टेशन,16.8
48-U,Pune Station To Venutai Chavan College,पुणे स्टेशन ते वेणुताई कॉलेज,16.8
49-D,Khanapur To Pune Station,खानापूर ते पुणे स्टेशन,27.7
49-U,Pune Station To Khanapur,पुणे स्टेशन ते खानापूर,27.7
50B-D,Sinhgad Paytha To Natraj Stand,सिंहगड पायथा ते नटराज,22.8
50B-U,Natraj Stand To Sinhgad Paytha,नटराज ते सिंहगड पायथा,22.8
50-D,Sinhagad To Shaniwarwada,सिंहगड ते शनिवारवाडा,24.8
50-U,Shaniwarwada To Sinhagad,शनिवारवाडा ते सिंहगड,24.8
51A-D,DSK Vishwa To Shivajinagar,डि.एस.के. विश्व ते शिवाजीनगर,13.2
51A-U,Shivajinagar To DSK Vishwa,शिवाजीनगर ते डि.एस.के. विश्व,13.2
51-D,Dhayari Maruti Mandi To Shivajinagar,धायरी मारूती मंदिर ते शिवाजीनगर,13.2
51-U,Shivajinagar To Dhayari Maruti Mandi,शिवाजीनगर ते धायरी मारूती मंदिर,13.2
52A-D,Osade Phata To Swargate,ओसाडे फाटा ते स्वारगेट,30.1
52A-U,Swargate To Osade Phata,स्वारगेट ते ओसाडे फाटा,30.1
52B-D,Khanapur To Marketyard,खानापूर ते मार्केटयार्ड,26
52B-U,Marketyard To Khanapur,मार्केटयार्ड ते खानापूर,26
52-D,Khanapur To Swargate,खानापूर ते स्वारगेट,23.2
52-U,Swargate To Khanapur,स्वारगेट ते खानापूर,23.2
53B-D,Swargate To Shivajinagar,स्वारगेट ते शिवाजीनगर,4.3
53-D,DSK Vishwa To Shivajinagar,डि.एस.के. विश्व ते शिवाजीनगर,15.4
53-U,Shivajinagar To DSK Vishwa,शिवाजीनगर ते डि.एस.के. विश्व,14.4
54A-D,Vadgaon Bk To Na Ta Wadi,वडगाव बु. ते नतावाडी,11.5
54A-U,Na Ta Wadi To Vadgaon Bk,नतावाडी ते वडगाव बु.,11.5
54B-D,Na Ta Wadi To Swargate,नतावाडी ते स्वारगेट,4.3
54B-U,Swargate To Na Ta Wadi,स्वारगेट ते नतावाडी,4.3
54-D,Venutai Chavan College To Na Ta Wadi,वेणुताई कॉलेज ते नतावाडी,13.9
54-U,Na Ta Wadi To Venutai Chavan College,नतावाडी ते वेणुताई कॉलेज,13.9
55-D,Mandai To Suncity,महात्मा फुले मंडई ते सनसिटी,7.8
55-U,Suncity To Mandai,सनसिटी ते महात्मा फुले मंडई,7.8
56-D,Mandai To Vadgaon Bk,महात्मा फुले मंडई ते वडगाव बु.,9.4
56-U,Vadgaon Bk To Mandai,वडगाव बु. ते महात्मा फुले मंडई,9.4
57A-D,Suncity To Pune Station,सनसिटी ते पुणे स्टेशन,10.3
57A-U,Pune Station To Suncity,पुणे स्टेशन ते सनसिटी,10.3
57-D,Vadgaon Bk To Pune Station,वडगाव बु. ते पुणे स्टेशन,12.3
57-U,Pune Station To Vadgaon Bk,पुणे स्टेशन ते वडगाव बु.,12.3
58A-D,Pandavnagar To Shanipar,पांडवनगर ते शनिपार,7.5
58A-U,Shanipar To Pandavnagar,शनिपार ते पांडवनगर,7.5
58-D,Gokhalenagar To Shanipar,गोखलेनगर ते शनिपार,5.6
58P-D,Pandavnagar Senapati Bapat Road To Shanipar,पांडव नगर ते शनिपार,7.8
58P-U,Shanipar To Pandavnagar Senapati Bapat Road,शनिपार ते पांडव नगर,7.8
58-U,Shanipar To Gokhalenagar,शनिपार ते गोखलेनगर,5.6
59-D,Niljyoti To Shanipar,निलज्योती सोसायटी ते शनिपार,6.2
59-U,Shanipar To Niljyoti,शनिपार ते निलज्योती सोसायटी,6.2
5A-D,Tadiwala Road To Swargate,ताडीवाला रोड ते स्वारगेट,6.3
5A-U,Swargate To Tadiwala Road,स्वारगेट ते ताडीवाला रोड,6.3
5-D,Pune Station To Swargate,पुणे स्टेशन ते स्वारगेट,5.45
5-U,Swargate To Pune Station,स्वारगेट ते पुणे स्टेशन,5.45
60A-D,Ghulenagar To Natraj Stand,घुलेनगर ते नटराज,9
60A-U,Natraj Stand To Ghulenagar,नटराज ते घुलेनगर,9
60-D,Ghulenager To  Shaniwarwada Stand,घुलेनगर ते शनिवारवाडा स्‍टॅण्ड  ,12
60-U, Shaniwarwada Stand To Ghulenager,शनिवारवाडा स्‍टॅण्ड ते घुलेनगर,12
61-D,Nasrapur To Swargate,नसरापुर ते स्वारगेट,32
61-U,Swargate To Nasrapur,स्वारगेट ते नसरापुर,32
62A-D,Marketyard To Sangamwadi,मार्केटयार्ड ते संगमवाडी,10.2
62-D,Sangamwadi To Sukhsagarnagar,संगमवाडी ते सुखसागर नगर,15.5
62-U,Sukhsagarnagar To Sangamwadi,सुखसागर नगर ते संगमवाडी,15.5
63-D,Kalyaninagar To Swargate,कल्याणीनगर ते स्वारगेट,11.5
63-U,Swargate To Kalyaninagar,स्वारगेट ते कल्याणीनगर,11.5
64A-D,Warje Malwadi To Swargate,वारजे माळवाडी ते स्वारगेट,10
64A-U,Swargate To Warje Malwadi,स्वारगेट ते वारजे माळवाडी,10
64B-D,Gujrat Colony To Upper Depot,गुजराथ कॉलनी ते अप्पर डेपो,11.7
64B-U,Upper Depot To Gujrat Colony,अप्पर डेपो ते गुजराथ कॉलनी,11.7
64C-D,Swargate To Gujrat Colony,स्वारगेट ते गुजराथ कॉलनी,6.5
64-D,Warje Malwadi To Hadapsar Gadital,वारजे माळवाडी ते हडपसर गाडीतळ,20
64-U,Hadapsar Gadital To Warje Malwadi,हडपसर गाडीतळ ते वारजे माळवाडी,20
65A-D,Marketyard To Upper Depo,मार्केटयार्ड ते अप्पर डेपो,4.8
65A-U,Upper Depo To Marketyard,अप्पर डेपो ते मार्केटयार्ड,4.8
65-D,Maharashtra Housing Board Samtanagar To Upper Depot,महाराष्ट्र हौसिंग बोर्ड (समतानगर) ते अप्पर डेपो,16.5
65-U,Upper Depot To Maharashtra Housing Board Samtanagar,अप्पर डेपो ते महाराष्ट्र हौसिंग बोर्ड (समतानगर),16.5
66A-D,Shaniwarwada To Marketyard,शनिवारवाडा ते मार्केटयार्ड,6
66A-U,Marketyard To Shaniwarwada,मार्केटयार्ड ते शनिवारवाडा,6
66-D,Agalambegaon To Marketyard,आगळंबे गांव ते मार्केटयार्ड,29.1
66-U,Marketyard To Agalambegaon,मार्केटयार्ड ते आगळंबे गांव,29
67-D,Kharadi Gaon To Swargate,खराडी गाव ते स्वारगेट,17.2
67-U,Swargate To Kharadi Gaon,स्वारगेट ते खराडी गाव,17.2
68A-D, Sukhsagarnagar To Kumbare Park,सुखसागरनगर ते कुंबरेपार्क,13.5
68A-U,Kumbare Park To Sukhsagarnagar,कुंबरेपार्क ते सुखसागरनगर  ,13.5
68B-D,Venutai Chavan College To Kothrud Depo,वेणुताई कॉलेज ते कोथरुड डेपो,15
68B-U,Kothrud Depo To Venutai Chavan College,कोथरुड डेपो ते वेणुताई कॉलेज,15
68S-D,Upper Depot To Sutardara, अप्पर डेपो ते सुतारदरा,14.8
68S-U,Sutardara To  Upper Depot,सुतारदरा ते अप्पर डेपो ,14.8
69-D,Ghotawadegaon To Marketyard,घोटावडे गांव ते मार्केटयार्ड,31.3
69-U,Marketyard To Ghotawadegaon,मार्केटयार्ड ते घोटावडे गांव,31.3
70A-D,Shasakiya Vishramgruha Paudgaon To Deccan Gymkhana,शासकीय विश्रामगृह पौंडगांव ते डेक्कन जिमखाना,28
70A-U,Deccan Gymkhana To Shasakiya Vishramgruha Paudgaon,डेक्कन जिमखाना ते शासकीय विश्रामगृह पौंडगांव,28
70B-D,Shasakiya Vishramgruha Paudgaon To Kothrud Depo,शासकीय विश्रामगृह पौंडगांव ते कोथरुड डेपो,22
